Exercise,Difficulty Level,Primary Equipment,Prime Mover Muscle,Secondary Muscle,Body Region
Miniband Fire Hydrant,Beginner,Miniband,Gluteus Maximus,Gluteus Medius,Lower Body
Medicine Ball Russian Twist,Novice,Medicine Ball,Obliques,Rectus Abdominis,Core
Bodyweight Side Plank,Novice,Bodyweight,Obliques,Rectus Abdominis,Core
Cable Reverse Crunch,Novice,Cable,Rectus Abdominis,Iliopsoas,Core
Cable Rope Half Kneeling High to Low Chop,Intermediate,Cable,Obliques,Rectus Abdominis,Core
Cable Rope Half Kneeling Low to High Chop,Intermediate,Cable,Obliques,Rectus Abdominis,Core
Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,Advanced,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Cable Rope Staggered Stance High to Low Chop ,Intermediate,Cable,Obliques,Rectus Abdominis,Core
Cable Rope Staggered Stance Low to High Chop,Intermediate,Cable,Obliques,Rectus Abdominis,Core
Single Arm Dumbbell Windmill,Intermediate,Dumbbell,Obliques,Rectus Abdominis,Core
Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,Intermediate,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Double Kettlebell Front Rack Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Feet On Wall Mountain Climber ,Advanced,Bodyweight,Rectus Abdominis,Iliopsoas,Core
Slider Double Kettlebell Suitcase Reverse Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Hollow Body Hold,Novice,Bodyweight,Rectus Abdominis,,Core
Dumbbell Crush Grip Hollow Body Hold,Intermediate,Dumbbell,Rectus Abdominis,,Core
Bar Inverted Hanging Crunch,Expert,Pull Up Bar,Rectus Abdominis,Iliopsoas,Core
Bodyweight Inverted Hanging Oblique Crunch,Expert,Bodyweight,Obliques,Rectus Abdominis,Core
Slider Double Kettlebell Front Rack Reverse Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Supine Alternating Single Leg Raise,Beginner,Bodyweight,Rectus Abdominis,Iliopsoas,Core
Bodyweight Supine Leg Raise,Novice,Bodyweight,Rectus Abdominis,Iliopsoas,Core
Miniband Bicycle Crunch,Novice,Miniband,Obliques,Rectus Abdominis,Core
Bodyweight Side Plank Reach Through,Novice,Bodyweight,Obliques,Rectus Abdominis,Core
Bodyweight Sit Up,Novice,Bodyweight,Rectus Abdominis,,Core
Bodyweight Butterfly Sit Up,Novice,Bodyweight,Rectus Abdominis,,Core
Slider Mountain Climber,Novice,Sliders,Rectus Abdominis,Iliopsoas,Core
Slider Pike ,Advanced,Sliders,Rectus Abdominis,,Core
Stability Ball Pike,Advanced,Stability Ball,Rectus Abdominis,,Core
Slider Wide Mountain Climber,Intermediate,Sliders,Rectus Abdominis,Iliopsoas,Core
Stability Ball Crunch,Beginner,Stability Ball,Rectus Abdominis,Iliopsoas,Core
Stability Ball Feet Elevated Oblique Crunch,Beginner,Stability Ball,Obliques,Rectus Abdominis,Core
Stability Ball Kneeling Rollout,Beginner,Stability Ball,Rectus Abdominis,Latissimus Dorsi,Core
Stability Ball Single Leg Knee Tuck,Advanced,Stability Ball,Rectus Abdominis,,Core
Stability Ball Single Leg Pike,Expert,Stability Ball,Rectus Abdominis,,Core
Double Dumbbell Z Press,Novice,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Slider Double Kettlebell Overhead Reverse Lunge,Intermediate,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Romanian Deadlift,Beginner,Dumbbell,Biceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Side Plank,Intermediate,Dumbbell,Obliques,Rectus Abdominis,Core
Bodyweight Single Leg Glute Bridge,Novice,Bodyweight,Gluteus Maximus,Biceps Femoris,Lower Body
Dumbbell Glute Bridge,Beginner,Dumbbell,Gluteus Maximus,Biceps Femoris,Lower Body
Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension,Beginner,Bodyweight,Gluteus Maximus,Biceps Femoris,Lower Body
Miniband Side Lying Clamshell,Beginner,Miniband,Gluteus Maximus,Gluteus Medius,Lower Body
Miniband Ankle Side Lying Hip Abduction,Beginner,Miniband,Gluteus Medius,Gluteus Minimus,Lower Body
Miniband Bench Seated Hip Abduction,Beginner,Miniband,Gluteus Medius,Gluteus Minimus,Lower Body
Miniband Glute Bridge Hip Abduction,Beginner,Miniband,Gluteus Maximus,Gluteus Medius,Lower Body
Stability Ball Hip Thrust,Beginner,Stability Ball,Gluteus Maximus,Biceps Femoris,Lower Body
Stability Ball Dumbbell Hip Thrust,Beginner,Stability Ball,Gluteus Maximus,Biceps Femoris,Lower Body
Bodyweight Frog Pump,Beginner,Bodyweight,Gluteus Maximus,Biceps Femoris,Lower Body
Dumbbell Frog Pump,Beginner,Dumbbell,Gluteus Maximus,Biceps Femoris,Lower Body
Cable Glute Kickback,Novice,Cable,Gluteus Maximus,,Lower Body
Bodyweight Single Leg Foot Elevated Glute Bridge,Novice,Bodyweight,Gluteus Maximus,Biceps Femoris,Lower Body
Suspension Feet Elevated Glute Bridge,Novice,Suspension Trainer,Gluteus Maximus,Biceps Femoris,Lower Body
Miniband Thigh Lateral Walk,Beginner,Miniband,Gluteus Medius,Gluteus Minimus,Lower Body
Miniband Ankle Lateral Walk,Novice,Miniband,Gluteus Medius,Gluteus Minimus,Lower Body
Miniband Feet Lateral Walk,Intermediate,Miniband,Gluteus Medius,Gluteus Minimus,Lower Body
Miniband Standing Glute Kickback,Novice,Miniband,Gluteus Maximus,,Lower Body
Barbell Hip Thrust,Novice,Barbell,Gluteus Maximus,Biceps Femoris,Lower Body
Barbell Single Leg Hip Thrust,Intermediate,Barbell,Gluteus Maximus,Biceps Femoris,Lower Body
Stability Ball Single Leg Foot Elevated Glute Bridge,Intermediate,Stability Ball,Gluteus Maximus,Biceps Femoris,Lower Body
Miniband Standing Hip Abduction,Novice,Miniband,Gluteus Medius,Gluteus Minimus,Lower Body
Miniband 3 Way Cha Cha,Beginner,Miniband,Gluteus Medius,Gluteus Minimus,Lower Body
Slider Single Arm Kettlebell Suitcase Contralateral Reverse Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Cable Hip Abduction,Novice,Cable,Gluteus Medius,Gluteus Minimus,Lower Body
Miniband Wall Sit Hip Abduction,Novice,Miniband,Quadriceps Femoris,Gluteus Medius,Lower Body
Slider Barbell Overhead Lateral Lunge,Advanced,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Half Kneeling Contralateral Overhead Press,Novice,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Barbell Shrug,Novice,Barbell,Upper Trapezius,Levator Scapulae,Upper Body
Cable Face Pull,Novice,Cable,Posterior Deltoids,Infraspinatus,Upper Body
Cable Seated Face Pull,Novice,Cable,Posterior Deltoids,Infraspinatus,Upper Body
Cable Guillotine Curl,Novice,Cable,Biceps Brachii,Brachialis,Upper Body
Cable Supine Bicep Curl,Novice,Cable,Biceps Brachii,Brachialis,Upper Body
Cable Straight Bar High Bicep Curl,Novice,Cable,Biceps Brachii,Brachialis,Upper Body
Double Dumbbell Spider Curl,Novice,Dumbbell,Biceps Brachii,Brachialis,Upper Body
EZ Bar Spider Curl,Novice,EZ Bar,Biceps Brachii,Brachialis,Upper Body
Stability Ball Cable Preacher Curl,Novice,Stability Ball,Biceps Brachii,Brachialis,Upper Body
Single Arm Dumbbell Standing Concentration Curl,Novice,Dumbbell,Biceps Brachii,Brachialis,Upper Body
EZ Bar Wide Grip Bicep Curl,Novice,EZ Bar,Biceps Brachii,Brachialis,Upper Body
Single Arm Cable Standing High Bicep Curl,Novice,Cable,Biceps Brachii,Brachialis,Upper Body
EZ Bar Seated Overhead Tricep Extension,Novice,EZ Bar,Triceps Brachii,Anterior Deltoids,Upper Body
EZ Bar Overhead Tricep Extension,Novice,EZ Bar,Triceps Brachii ,Anterior Deltoids,Upper Body
Barbell Thruster,Intermediate,Barbell,Quadriceps Femoris,Anterior Deltoids,Full Body
Bodyweight Diamond Push Up,Novice,Bodyweight,Triceps Brachii ,Pectoralis Major,Upper Body
EZ Bar Lying Tricep Extension ,Novice,EZ Bar,Triceps Brachii ,,Upper Body
Cable Rope Overhead Tricep Extension,Novice,Cable,Triceps Brachii ,Anterior Deltoids,Upper Body
Single Arm Cable Reverse Grip Tricep Pushdown,Novice,Cable,Triceps Brachii ,,Upper Body
EZ Bar Reverse Grip Bicep Curl,Novice,EZ Bar,Brachioradialis,Biceps Brachii,Upper Body
Stability Ball Single Arm Dumbbell Chest Press,Novice,Stability Ball,Pectoralis Major,Triceps Brachii,Upper Body
Suspension Face Pull,Novice,Suspension Trainer,Posterior Deltoids,Infraspinatus,Upper Body
Landmine V Grip Row,Novice,Landmine,Latissimus Dorsi,,Upper Body
Double Dumbbell Thruster,Novice,Dumbbell,Quadriceps Femoris,Anterior Deltoids,Full Body
Single Arm Dumbbell Thruster,Novice,Dumbbell,Quadriceps Femoris,Anterior Deltoids,Full Body
Single Arm Landmine Row,Novice,Landmine,Latissimus Dorsi,,Upper Body
Superband Assisted Bar Pull Up,Novice,Superband,Latissimus Dorsi,,Upper Body
Stability Ball Prone Cobra,Novice,Stability Ball,Erector Spinae ,,Upper Body
Single Arm Dumbbell Overhead Carry,Intermediate,Dumbbell,Anterior Deltoids,Obliques,Full Body
Double Dumbbell Pendlay Row,Novice,Dumbbell,Latissimus Dorsi,,Upper Body
Cable Straight Bar Pullover,Novice,Cable,Latissimus Dorsi,,Upper Body
Single Arm Cable Half Kneeling Lat Pulldown,Novice,Cable,Latissimus Dorsi,,Upper Body
Single Arm Cable Half Kneeling Low Row,Novice,Cable,Latissimus Dorsi,,Upper Body
Single Arm Suspension Low Row,Novice,Suspension Trainer,Latissimus Dorsi,Biceps Brachii,Upper Body
Double Dumbbell Incline Bench Prone Row,Novice,Dumbbell,Latissimus Dorsi,,Upper Body
Barbell Pendlay Row,Novice,Barbell,Latissimus Dorsi,,Upper Body
Barbell Bench Press,Novice,Barbell,Pectoralis Major,Triceps Brachii,Upper Body
Cable Single Leg Standing Bent Knee Hip External Rotation,Novice,Cable,Gluteus Maximus,Gluteus Medius,Lower Body
Cable Hip Rotation,Novice,Cable,Gluteus Maximus,Gluteus Medius,Lower Body
Barbell Bicep Curl,Novice,Barbell,Biceps Brachii,Brachialis,Upper Body
Barbell Overhead Press,Novice,Barbell,Anterior Deltoids,Triceps Brachii,Upper Body
Barbell Push Press,Novice,Barbell,Anterior Deltoids,Triceps Brachii,Upper Body
Barbell Bent Over Row,Novice,Barbell,Latissimus Dorsi,Rhomboids,Upper Body
Single Arm Landmine Meadows Row,Novice,Landmine,Latissimus Dorsi,,Upper Body
Cable Straight Bar Seated Bicep Curl,Novice,Cable,Biceps Brachii,Brachialis,Upper Body
Cable Rope Skull Crusher,Novice,Cable,Triceps Brachii,Anconeus,Upper Body
Single Arm Dumbbell Seated Cuban Press,Novice,Dumbbell,Posterior Deltoids,Infraspinatus,Upper Body
Bodyweight Wall Facing Handstand,Novice,Bodyweight,Anterior Deltoids,Triceps Brachii,Upper Body
Parallette Close Grip Push Up,Novice,Parallette Bars,Triceps Brachii,Pectoralis Major,Upper Body
Parallette Wide Push Up,Novice,Parallette Bars,Pectoralis Major,,Upper Body
Barbell Front Raise,Novice,Barbell,Anterior Deltoids,Pectoralis Major,Upper Body
Single Arm Cable Front Raise,Novice,Cable,Anterior Deltoids,Pectoralis Major,Upper Body
Parallette Side Plank,Intermediate,Parallette Bars,Obliques,Rectus Abdominis,Core
Cable Straight Bar Front Raise,Novice,Cable,Anterior Deltoids,Pectoralis Major,Upper Body
Barbell Close Grip Bench Press,Novice,Barbell,Triceps Brachii,Pectoralis Major,Upper Body
Single Arm Cable Bicep Curl,Novice,Cable,Biceps Brachii,Brachialis,Upper Body
Single Arm Cable Shotgun Row,Novice,Cable,Latissimus Dorsi,Biceps Brachii,Upper Body
Cable Half Kneeling Face Pull,Novice,Cable,Posterior Deltoids,Infraspinatus,Upper Body
Stability Ball Double Dumbbell W Raise,Novice,Stability Ball,Posterior Deltoids,,Upper Body
Single Arm Kettlebell Bent Over Row,Novice,Kettlebell,Latissimus Dorsi,Rhomboids,Upper Body
Double Kettlebell Gorilla Row,Novice,Kettlebell,Latissimus Dorsi,,Upper Body
Kettlebell Alternating Halo,Novice,Kettlebell,Posterior Deltoids,Medial Deltoids,Upper Body
Single Arm Kettlebell Overhead Press,Novice,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Kettlebell Horn Grip Bicep Curl,Novice,Kettlebell,Biceps Brachii,Brachialis,Upper Body
Double Dumbbell Prone Row,Novice,Dumbbell,Latissimus Dorsi,,Upper Body
Double Kettlebell Z Press,Novice,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Kettlebell Push Press,Novice,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Barbell Prone Row,Novice,Barbell,Latissimus Dorsi,,Upper Body
Single Arm Dumbbell Cuban Press,Novice,Dumbbell,Posterior Deltoids,Infraspinatus,Upper Body
Single Arm Kettlebell Push Jerk,Novice,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Barbell Incline Bench Press,Novice,Barbell,Pectoralis Major,Triceps Brachii,Upper Body
Double Kettlebell Tall Kneeling Overhead Press,Novice,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Dumbbell Incline Bench Prone Y Raise,Novice,Dumbbell,Posterior Deltoids,,Upper Body
Suspension Face Pull to Overhead Press,Novice,Suspension Trainer,Posterior Deltoids,Infraspinatus,Upper Body
Double Dumbbell Reverse Grip Bench Press,Novice,Dumbbell,Pectoralis Major,,Upper Body
Single Arm Cable Seated Floor Lat Pulldown,Novice,Cable,Latissimus Dorsi,Biceps Brachii,Upper Body
Double Dumbbell Suitcase Carry,Beginner,Dumbbell,Brachioradialis,,Full Body
Single Arm Resistance Band Half Kneeling Cuban Press,Novice,Resistance Band,Posterior Deltoids,Infraspinatus,Upper Body
Double Dumbbell Cuban Press,Novice,Dumbbell,Posterior Deltoids,Infraspinatus,Upper Body
Double Kettlebell Pendlay Row,Novice,Kettlebell,Latissimus Dorsi,Biceps Brachii,Upper Body
Double Kettlebell Half Kneeling Overhead Press,Novice,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Single Arm Kettlebell Push Press,Novice,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Kettlebell Push Jerk,Novice,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Dumbbell Glute Bridge Isometric Floor Press,Novice,Dumbbell,Pectoralis Major,Triceps Brachii,Full Body
Double Kettlebell Seesaw Overhead Press,Novice,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Alternating Double Kettlebell Z Press,Novice,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Bodyweight Burpee,Intermediate,Bodyweight,Pectoralis Major,Triceps Brachii,Full Body
Double Dumbbell Devil Press,Advanced,Dumbbell,Anterior Deltoids,Pectoralis Major,Full Body
Alternating Single Arm Dumbbell Devil Press,Advanced,Dumbbell,Anterior Deltoids,Pectoralis Major,Full Body
Double Kettlebell Seesaw Z Press,Novice,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Plate Lu Raise,Novice,Weight Plate,Infraspinatus,Posterior Deltoids,Upper Body
Plate Steering Wheel,Novice,Weight Plate,Anterior Deltoids,,Upper Body
Suspension Cuban Press,Novice,Suspension Trainer,Posterior Deltoids,Triceps Brachii,Upper Body
Barbell Decline Bench Press,Novice,Barbell,Pectoralis Major,Triceps Brachii,Upper Body
Kettlebell Half Kneeling Alternating Halo,Novice,Kettlebell,Posterior Deltoids,Medial Deltoids,Upper Body
Kettlebell Tall Kneeling Alternating Halo,Novice,Kettlebell,Posterior Deltoids,Medial Deltoids,Upper Body
Bodyweight Rolling Squat Burpee,Advanced,Bodyweight,Pectoralis Major,Triceps Brachii,Full Body
Kettlebell Tall Kneeling Alternating Hip to Halo,Novice,Kettlebell,Posterior Deltoids,Medial Deltoids,Upper Body
Barbell Seated Overhead Press,Novice,Barbell,Anterior Deltoids,Triceps Brachii,Upper Body
Dumbbell Crush Grip Z Press,Novice,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Barbell Half Kneeling Overhead Press,Novice,Barbell,Anterior Deltoids,Triceps Brachii,Upper Body
Barbell Tall Kneeling Overhead Press,Novice,Barbell,Anterior Deltoids,Triceps Brachii,Upper Body
Barbell Inverted Row,Novice,Barbell,Latissimus Dorsi,Biceps Brachii,Upper Body
Ring Row,Novice,Gymnastic Rings,Latissimus Dorsi,Biceps Brachii,Upper Body
Slider Single Arm Kettlebell Suitcase Ipsilateral Reverse Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Kettlebell Front Rack Contralateral Reverse Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Ring Bulgarian Row,Novice,Gymnastic Rings,Latissimus Dorsi,Biceps Brachii,Upper Body
Alternating Double Kettlebell Rotational Overhead Press,Novice,Kettlebell,Anterior Deltoids,,Upper Body
Alternating Double Kettlebell Push Press,Novice,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Cable Tall Kneeling Face Pull,Novice,Cable,Posterior Deltoids,Infraspinatus,Upper Body
Macebell Ballistic Curl,Novice,Macebell,Biceps Brachii,,Upper Body
Single Arm Indian Club Outer Heart Shaped Swing,Novice,Indian Club,Posterior Deltoids,,Upper Body
Single Arm Clubbell Pullover,Novice,Clubbell,Latissimus Dorsi,Posterior Deltoids,Upper Body
Double Clubbell Pullover,Novice,Clubbell,Latissimus Dorsi,Posterior Deltoids,Upper Body
Clubbell Pullover,Novice,Clubbell,Latissimus Dorsi,Posterior Deltoids,Upper Body
Clubbell Front Flag Press,Novice,Clubbell,Anterior Deltoids,Triceps Brachii,Upper Body
Single Arm Indian Club Inner Heart Shaped Swing,Novice,Indian Club,Posterior Deltoids,,Upper Body
Single Arm Ring Dead Hang,Novice,Gymnastic Rings,Brachioradialis,Latissimus Dorsi,Upper Body
Single Arm Dumbbell Suitcase Deadlift,Novice,Dumbbell,Latissimus Dorsi,Latissimus Dorsi,Full Body
Slider Single Arm Kettlebell Front Rack Ipsilateral Reverse Lunge,Novice,Sliders,Quadriceps Femoris,Latissimus Dorsi,Lower Body
Clubbell Torch Press,Novice,Clubbell,Anterior Deltoids,Latissimus Dorsi,Upper Body
Single Arm Clubbell Torch Press,Novice,Clubbell,Anterior Deltoids,Latissimus Dorsi,Upper Body
Double Clubbell Torch Press,Novice,Clubbell,Anterior Deltoids,Latissimus Dorsi,Upper Body
Barbell Conventional Deadlift,Novice,Barbell,Latissimus Dorsi,Latissimus Dorsi,Full Body
Barbell Sumo Deadlift,Novice,Barbell,Latissimus Dorsi,Gluteus Maximus,Full Body
Barbell Rack Pull,Novice,Barbell,Latissimus Dorsi,,Full Body
Barbell Snatch Grip Deadlift,Intermediate,Barbell,Latissimus Dorsi,,Full Body
Alternating Double Clubbell Torch Press,Novice,Clubbell,Anterior Deltoids,Triceps Brachii,Upper Body
Stability Ball Hyperextension,Novice,Stability Ball,Erector Spinae ,,Core
Barbell Seated Good Morning ,Intermediate,Barbell,Erector Spinae ,Gluteus Maximus,Lower Body
Barbell Good Morning,Intermediate,Barbell,Erector Spinae ,Gluteus Maximus,Lower Body
Bodyweight Wall Sit ,Beginner,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Wall Slide Squat,Beginner,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Stability Ball Wall Slide Squat,Beginner,Stability Ball,Quadriceps Femoris,Gluteus Maximus,Lower Body
Suspension Squat,Beginner,Suspension Trainer,Quadriceps Femoris,Gluteus Maximus,Lower Body
Suspension Alternating Reverse Lunge,Beginner,Suspension Trainer,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Squat to Bench,Beginner,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Squat,Beginner,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Hand Assisted Split Squat,Beginner,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Walking Lunge,Beginner,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Dumbbell Goblet Squat ,Beginner,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Miniband Romanian Deadlift,Beginner,Miniband,Biceps Femoris,Gluteus Maximus,Lower Body
Superband Resisted Skater Jump,Intermediate,Superband,Gluteus Medius,Gluteus Maximus,Lower Body
Cable Prone Single Leg Hamstring Curl,Beginner,Cable,Biceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Candlestick Roll Up Tuck Jump,Intermediate,Bodyweight,Gluteus Maximus,,Full Body
Single Arm Clubbell Front Flag Press,Novice,Clubbell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Clubbell Front Flag Press,Novice,Clubbell,Anterior Deltoids,Triceps Brachii,Upper Body
Barbell Block Pull Deadlift,Novice,Barbell,Latissimus Dorsi,,Full Body
Barbell Box Back Squat,Novice,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Deficit Deadlift,Intermediate,Barbell,Latissimus Dorsi,,Full Body
Barbell Front Rack Squat,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Glute Bridge,Novice,Barbell,Gluteus Maximus,Biceps Femoris,Lower Body
Barbell Halting Deadlift,Novice,Barbell,Latissimus Dorsi,,Full Body
Barbell High Bar Back Squat,Novice,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Low Bar Back Squat,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Alternating Double Clubbell Front Flag Press,Novice,Clubbell,Anterior Deltoids,Triceps Brachii,Upper Body
Barbell Power Clean,Expert,Barbell,Gluteus Maximus,Biceps Femoris,Full Body
Barbell Power Snatch,Expert,Barbell,Gluteus Maximus,Anterior Deltoids ,Full Body
Double Indian Club Lateral Internal and External Rotations,Novice,Indian Club,Posterior Deltoids,,Upper Body
Barbell Romanian Deadlift,Novice,Barbell,Biceps Femoris,Gluteus Maximus,Lower Body
Single Arm Indian Club Lateral Internal and External Rotation,Novice,Indian Club,Posterior Deltoids,,Upper Body
Barbell Back Rack Split Squat,Novice,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Stiff Legged Deadlift,Novice,Barbell,Biceps Femoris,Gluteus Maximus,Lower Body
Barbell Sumo Back Squat,Novice,Barbell,Gluteus Maximus,Quadriceps Femoris,Lower Body
Bodyweight Pistol Squat,Advanced,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Skater Squat,Intermediate,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Cable Pull Through,Beginner,Cable,Gluteus Maximus,,Lower Body
Double Dumbbell Suitcase Bulgarian Split Squat,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Suitcase Step Up,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Suitcase Deficit Split Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
